accession	file_path	notes
GCF_000014865.1	data/genomes/phase5_0/GCF_000014865.1.fna	Phase 5.0 main: Magnetococcus marinus MC-1 [marine_user_interest]. biomass=Gram_neg
GCF_000014965.1	data/genomes/phase5_0/GCF_000014965.1.fna	Phase 5.0 main: Syntrophobacter fumaroxidans MPOB [syntrophy]. biomass=Gram_neg
GCF_000015765.1	data/genomes/phase5_0/GCF_000015765.1.fna	Phase 5.0 main: Methanocorpusculum labreanum Z [methane_metabolism]. biomass=Archaea
GCF_000016525.1	data/genomes/phase5_0/GCF_000016525.1.fna	Phase 5.0 main: Methanobrevibacter smithii ATCC 35061 [methane_metabolism]. biomass=Archaea
GCF_000017805.1	data/genomes/phase5_0/GCF_000017805.1.fna	Phase 5.0 main: Roseiflexus castenholzii DSM 13941 [phototrophy]. biomass=Gram_neg
GCF_000017845.1	data/genomes/phase5_0/GCF_000017845.1.fna	Phase 5.0 main: Crocosphaera subtropica ATCC 51142 [nitrogen_metabolism]. biomass=Gram_neg
GCF_000017945.1	data/genomes/phase5_0/GCF_000017945.1.fna	Phase 5.0 main: Ignicoccus hospitalis KIN4/I [carbon_fixation]. biomass=Archaea
GCF_000018305.1	data/genomes/phase5_0/GCF_000018305.1.fna	Phase 5.0 main: Caldivirga maquilingensis IC-167 [extreme_archaea]. biomass=Archaea
GCF_000018405.1	data/genomes/phase5_0/GCF_000018405.1.fna	Phase 5.0 main: Desulfosudis oleivorans Hxd3 [sulfate_reduction]. biomass=Gram_neg
GCF_000018465.1	data/genomes/phase5_0/GCF_000018465.1.fna	Phase 5.0 main: Nitrosopumilus maritimus SCM1 [nitrogen_metabolism]. biomass=Archaea
GCF_000019125.1	data/genomes/phase5_0/GCF_000019125.1.fna	Phase 5.0 main: Pseudomonas putida GB-1 [manganese_metabolism]. biomass=Gram_neg
GCF_000019165.1	data/genomes/phase5_0/GCF_000019165.1.fna	Phase 5.0 main: Heliomicrobium modesticaldum Ice1 [phototrophy]. biomass=Gram_neg
GCF_000019665.1	data/genomes/phase5_0/GCF_000019665.1.fna	Phase 5.0 main: Methylacidiphilum infernorum V4 [methane_metabolism]. biomass=Gram_neg
GCF_000020005.1	data/genomes/phase5_0/GCF_000020005.1.fna	Phase 5.0 main: Natranaerobius thermophilus JW/NM-WN-LF [halophile_alkaliphile]. biomass=Gram_neg
GCF_000020365.1	data/genomes/phase5_0/GCF_000020365.1.fna	Phase 5.0 main: Desulforapulum autotrophicum HRM2 [sulfate_reduction]. biomass=Gram_neg
GCF_000020825.1	data/genomes/phase5_0/GCF_000020825.1.fna	Phase 5.0 main: Acidithiobacillus ferrooxidans ATCC 53993 [sulfur_metabolism]. biomass=Gram_neg
GCF_000021045.1	data/genomes/phase5_0/GCF_000021045.1.fna	Phase 5.0 main: Azotobacter vinelandii DJ [nitrogen_metabolism]. biomass=Gram_neg
GCF_000021545.1	data/genomes/phase5_0/GCF_000021545.1.fna	Phase 5.0 main: Sulfurihydrogenibium azorense Az-Fu1 [sulfur_metabolism]. biomass=Gram_neg
GCF_000021565.1	data/genomes/phase5_0/GCF_000021565.1.fna	Phase 5.0 main: Persephonella marina EX-H1 [sulfur_metabolism]. biomass=Gram_neg
GCF_000021865.1	data/genomes/phase5_0/GCF_000021865.1.fna	Phase 5.0 main: Rhodobacter capsulatus SB 1003 [phototrophy]. biomass=Gram_neg
GCF_000022205.1	data/genomes/phase5_0/GCF_000022205.1.fna	Phase 5.0 main: Halorubrum lacusprofundi DSM 5036 [halophile_alkaliphile]. biomass=Archaea
GCF_000022685.1	data/genomes/phase5_0/GCF_000022685.1.fna	Phase 5.0 main: Methylorubrum extorquens AM1 [methane_metabolism]. biomass=Gram_neg
GCF_000024765.1	data/genomes/phase5_0/GCF_000024765.1.fna	Phase 5.0 main: Halothiobacillus neapolitanus c2 [sulfur_metabolism]. biomass=Gram_neg
GCF_000025925.1	data/genomes/phase5_0/GCF_000025925.1.fna	Phase 5.0 main: Prevotella ruminicola 23 [fermentation]. biomass=Gram_neg
GCF_000025985.1	data/genomes/phase5_0/GCF_000025985.1.fna	Phase 5.0 main: Bacteroides fragilis NCTC 9343 [fermentation]. biomass=Gram_neg
GCF_000058485.1	data/genomes/phase5_0/GCF_000058485.1.fna	Phase 5.0 main: Frankia alni ACN14a [nitrogen_metabolism]. biomass=Gram_neg
GCF_000093085.1	data/genomes/phase5_0/GCF_000093085.1.fna	Phase 5.0 main: Bacillus selenitireducens MLS10 [heavy_metal_respiration]. biomass=Gram_neg
GCF_000143685.1	data/genomes/phase5_0/GCF_000143685.1.fna	Phase 5.0 main: Clostridium ljungdahlii DSM 13528 [acetogenesis]. biomass=Gram_neg
GCF_000145255.1	data/genomes/phase5_0/GCF_000145255.1.fna	Phase 5.0 main: Gallionella capsiferriformans ES-2 [iron_metals]. biomass=Gram_neg
